date, pm25, pm10, o3, no2, so2, co
2024/5/1, 77, 62, 79, 15, 5, 
2024/5/2, 92, 76, 105, 23, 5, 
2024/5/3, 106, 57, 49, 10, 4, 
2024/5/4, 83, , , , , 
2024/4/1, 153, 84, 43, 20, 6, 
2024/4/2, 148, 57, 32, 15, 5, 
2024/4/3, 93, 63, 52, 24, 6, 
2024/4/4, 99, 70, 62, 19, 5, 
2024/4/5, 118, 64, 65, 12, 5, 
2024/4/6, 98, 63, 70, 16, 5, 
2024/4/7, 100, 94, 73, 17, 6, 
2024/4/8, 131, 96, 35, 27, 7, 
2024/4/9, 146, 93, 86, 25, 5, 
2024/4/10, 148, 68, 77, 10, 4, 
2024/4/11, 115, 62, 78, 12, 4, 
2024/4/12, 109, 64, 73, 9, 4, 
2024/4/13, 122, 34, 32, 14, 3, 
2024/4/14, 62, 70, 51, 16, 4, 
2024/4/15, 120, 97, 50, 25, 4, 
2024/4/16, 115, 100, 92, 25, 6, 
2024/4/17, 124, 89, 93, 10, 5, 
2024/4/18, 108, 107, 94, 26, 7, 
2024/4/19, 138, 87, 66, 15, 7, 
2024/4/20, 138, 105, 84, 24, 7, 
2024/4/21, 158, 85, 93, 22, 5, 
2024/4/22, 146, 63, 55, 10, 4, 
2024/4/23, 96, 81, 76, 17, 5, 
2024/4/24, 85, 97, 81, 8, 5, 
2024/4/25, 121, 72, 99, 9, 5, 
2024/4/26, 109, 70, 114, 14, 7, 
2024/4/27, 105, 84, 47, 19, 6, 
2024/4/28, 129, 67, 39, 14, 6, 
2024/4/29, 99, 60, 45, 18, 6, 
2024/4/30, 99, 61, 67, 21, 5, 
2024/1/1, 178, 134, 34, 33, 9, 
2024/1/2, 212, 142, 31, 36, 12, 
2024/1/3, 224, 77, 38, 17, 7, 
2024/1/4, 142, 96, 19, 33, 16, 
2024/1/5, 149, 68, 22, 24, 10, 
2024/1/6, 102, 57, 21, 22, 9, 
2024/1/7, 71, 62, 33, 18, 10, 
2024/1/8, 114, 87, 16, 28, 9, 
2024/1/9, 154, 61, 30, 20, 6, 
2024/1/10, 107, 117, 34, 29, 8, 
2024/1/11, 191, 180, 22, 52, 16, 
2024/1/12, 264, 258, 17, 59, 15, 
2024/1/13, 332, 92, 28, 21, 5, 
2024/1/14, 146, 57, 24, 25, 11, 
2024/1/15, 81, 74, 17, 31, 11, 
2024/1/16, 133, 105, 9, 34, 6, 
2024/1/17, 199, 73, 23, 17, 6, 
2024/1/18, 154, 53, 22, 15, 8, 
2024/1/19, 92, 60, 20, 13, 4, 
2024/1/20, 116, 52, 24, 16, 6, 
2024/1/21, 89, 27, 28, 9, 4, 
2024/1/22, 38, 44, 26, 19, 7, 
2024/1/23, 69, 56, 26, 21, 12, 
2024/1/24, 92, 66, 27, 26, 16, 
2024/1/25, 105, 71, 25, 22, 14, 
2024/1/26, 140, 84, 25, 31, 17, 
2024/1/27, 144, 84, 30, 30, 20, 
2024/1/28, 152, 93, 47, 39, 17, 
2024/1/29, 165, 129, 35, 47, 14, 
2024/1/30, 191, 133, 22, 31, 11, 
2024/1/31, 215, 46, 26, 12, 6, 
2024/2/1, 64, 53, 22, 17, 9, 
2024/2/2, 98, 54, 29, 15, 7, 
2024/2/3, 116, 50, 27, 16, 10, 
2024/2/4, 96, 50, 38, 15, 8, 
2024/2/5, 115, 72, 37, 25, 6, 
2024/2/6, 165, 75, 39, 24, 10, 
2024/2/7, 160, 86, 46, 20, 15, 
2024/2/8, 175, 142, 56, 16, 15, 
2024/2/9, 276, 212, 42, 12, 10, 
2024/2/10, 271, 97, 49, 10, 10, 
2024/2/11, 172, 80, 50, 6, 6, 
2024/2/12, 131, 56, 48, 8, 7, 
2024/2/13, 108, 65, 37, 13, 8, 
2024/2/14, 125, 40, 34, 7, 6, 
2024/2/15, 82, 52, 42, 6, 5, 
2024/2/16, 83, 42, 42, 7, 4, 
2024/2/17, 82, 60, 30, 26, 6, 
2024/2/18, 137, 41, 30, 8, 4, 
2024/2/19, 62, 45, 30, 7, 4, 
2024/2/20, 55, 26, 32, 6, 3, 
2024/2/21, 51, 34, 36, 9, 5, 
2024/2/22, 62, 31, 36, 10, 5, 
2024/2/23, 59, 59, 31, 14, 7, 
2024/2/24, 112, 78, 41, 23, 10, 
2024/2/25, 149, 69, 37, 19, 6, 
2024/2/26, 107, 69, 42, 21, 8, 
2024/2/27, 107, 87, 40, 27, 10, 
2024/2/28, 152, 79, 34, 16, 6, 
2024/2/29, 140, 52, 36, 15, 5, 
2024/3/1, 73, 81, 44, 13, 5, 
2024/3/2, 149, 91, 41, 19, 6, 
2024/3/3, 154, 129, 36, 39, 8, 
2024/3/4, 188, 87, 21, 22, 5, 
2024/3/5, 168, 68, 34, 18, 9, 
2024/3/6, 119, 81, 39, 24, 7, 
2024/3/7, 155, 42, 38, 15, 6, 
2024/3/8, 64, 62, 48, 18, 6, 
2024/3/9, 102, 80, 69, 10, 4, 
2024/3/10, 143, 102, 62, 14, 6, 
2024/3/11, 170, 83, 44, 20, 5, 
2024/3/12, 142, 83, 61, 14, 5, 
2024/3/13, 142, 76, 64, 17, 5, 
2024/3/14, 135, 65, 75, 11, 4, 
2024/3/15, 124, 78, 74, 14, 5, 
2024/3/16, 149, 122, 42, 14, 5, 
2024/3/17, 91, 102, 41, 11, 4, 
2024/3/18, 96, 111, 39, 10, 3, 
2024/3/19, 78, 66, 38, 12, 3, 
2024/3/20, 54, 106, 58, 11, 5, 
2024/3/21, 100, 92, 58, 17, 5, 
