date, pm25, pm10, o3, no2, so2, co
2024/6/1, 45, 18, 45, 6, 2, 2
2024/6/2, 43, 11, 39, 5, 2, 2
2024/6/3, 23, 13, 43, 7, 2, 2
2024/6/4, 28, 24, 75, 10, 3, 2
2024/6/5, 53, 22, 70, 8, 3, 2
2024/6/6, 50, 32, 81, 9, 3, 3
2024/6/7, 66, 30, 30, 9, 2, 2
2024/6/8, 69, 27, 69, 7, 2, 2
2024/6/9, 54, 30, 26, 10, 2, 3
2024/6/10, 69, , , , , 
2024/5/1, 42, 32, 74, 9, 2, 2
2024/5/2, 57, 42, 85, 12, 3, 3
2024/5/3, 69, 46, 103, 10, 3, 3
2024/5/4, 80, 55, 57, 12, 3, 2
2024/5/5, 65, 7, 37, 5, 3, 2
2024/5/6, 16, 14, 33, 4, 2, 2
2024/5/7, 27, 18, 39, 6, 3, 2
2024/5/8, 34, 30, 72, 8, 3, 2
2024/5/9, 58, 31, 82, 9, 3, 3
2024/5/10, 63, 23, 43, 7, 3, 2
2024/5/11, 46, 53, 46, 5, 3, 2
2024/5/12, 64, 29, 56, 7, 3, 2
2024/5/13, 53, 26, 87, 9, 3, 3
2024/5/14, 61, 25, 72, 7, 3, 3
2024/5/15, 49, 10, 44, 5, 3, 2
2024/5/16, 24, 30, 86, 10, 3, 3
2024/5/17, 62, 24, 53, 8, 3, 2
2024/5/18, 52, 22, 62, 6, 3, 2
2024/5/19, 45, 28, 43, 11, 3, 2
2024/5/20, 59, 27, 51, 8, 3, 2
2024/5/21, 62, 30, 72, 9, 3, 2
2024/5/22, 65, 37, 87, 9, 3, 2
2024/5/23, 73, 32, 45, 8, 3, 2
2024/5/24, 68, 23, 44, 7, 3, 2
2024/5/25, 42, 23, 47, 5, 2, 2
2024/5/26, 47, 24, 55, 6, 3, 2
2024/5/27, 42, 17, 36, 7, 2, 2
2024/5/28, 32, 25, 79, 11, 3, 2
2024/5/29, 49, 21, 43, 11, 3, 2
2024/5/30, 45, 23, 93, 10, 3, 2
2024/5/31, 51, 19, 52, 6, 3, 2
2024/4/1, 60, 44, 63, 16, 3, 3
2024/4/2, 68, 25, 29, 12, 3, 3
2024/4/3, 62, 28, 43, 10, 3, 3
2024/4/4, 53, 33, 53, 9, 3, 3
2024/4/5, 58, 41, 59, 12, 4, 4
2024/4/6, 88, 50, 91, 12, 4, 4
2024/4/7, 98, 56, 88, 18, 4, 4
2024/4/8, 103, 34, 43, 9, 3, 3
2024/4/9, 62, 35, 57, 8, 3, 3
2024/4/10, 51, 45, 55, 13, 3, 3
2024/4/11, 78, 42, 63, 13, 3, 3
2024/4/12, 80, 44, 74, 12, 3, 3
2024/4/13, 74, 36, 69, 9, 3, 3
2024/4/14, 63, 17, 48, 8, 3, 2
2024/4/15, 37, 51, 49, 8, 3, 3
2024/4/16, 35, 99, 45, 9, 3, 3
2024/4/17, 129, 90, 59, 10, 3, 3
2024/4/18, 107, 48, 106, 13, 3, 3
2024/4/19, 70, 47, 39, 11, 3, 4
2024/4/20, 91, 19, 46, 5, 2, 2
2024/4/21, 33, 29, 47, 9, 3, 2
2024/4/22, 54, 27, 58, 6, 3, 2
2024/4/23, 44, 10, 34, 5, 2, 2
2024/4/24, 23, 29, 55, 8, 2, 3
2024/4/25, 61, 47, 77, 11, 2, 3
2024/4/26, 76, 59, 80, 12, 2, 3
2024/4/27, 80, 40, 93, 9, 2, 3
2024/4/28, 71, 36, 50, 8, 3, 2
2024/4/29, 62, 38, 79, 9, 3, 3
2024/4/30, 75, 22, 51, 4, 3, 2
2024/1/1, 70, 39, 18, 22, 4, 7
2024/1/2, 100, 49, 12, 23, 4, 6
2024/1/3, 117, 45, 21, 20, 4, 6
2024/1/4, 100, 58, 26, 26, 5, 7
2024/1/5, 125, 38, 23, 17, 4, 4
2024/1/6, 66, 20, 27, 8, 4, 3
2024/1/7, 48, 23, 15, 15, 3, 4
2024/1/8, 50, 38, 6, 25, 4, 6
2024/1/9, 91, 39, 17, 22, 4, 5
2024/1/10, 102, 44, 25, 16, 4, 4
2024/1/11, 109, 48, 22, 21, 4, 5
2024/1/12, 102, 26, 21, 20, 4, 4
2024/1/13, 56, 32, 20, 23, 3, 7
2024/1/14, 81, 28, 26, 12, 4, 4
2024/1/15, 63, 36, 12, 22, 4, 6
2024/1/16, 74, 43, 2, 26, 4, 9
2024/1/17, 103, 25, 11, 27, 5, 8
2024/1/18, 74, 12, 32, 13, 5, 4
2024/1/19, 35, 4, 32, 6, 4, 2
2024/1/20, 9, 5, 23, 9, 4, 3
2024/1/21, 14, 26, 25, 8, 3, 3
2024/1/22, 62, 24, 27, 7, 3, 3
2024/1/23, 60, 21, 25, 13, 3, 3
2024/1/24, 49, 31, 22, 18, 3, 5
2024/1/25, 68, 33, 22, 24, 4, 5
2024/1/26, 79, 52, 26, 25, 4, 7
2024/1/27, 127, 37, 32, 16, 4, 5
2024/1/28, 82, 40, 29, 20, 4, 6
2024/1/29, 86, 52, 18, 25, 4, 7
2024/1/30, 107, 48, 29, 28, 4, 8
2024/1/31, 107, 47, 25, 23, 5, 6
2024/2/1, 127, 14, 29, 16, 4, 3
2024/2/2, 36, 28, 26, 19, 4, 5
2024/2/3, 70, 15, 28, 13, 5, 4
2024/2/4, 42, 3, 33, 6, 4, 2
2024/2/5, 13, 10, 24, 12, 3, 3
2024/2/6, 30, 32, 23, 15, 4, 4
2024/2/7, 84, 38, 24, 18, 4, 6
2024/2/8, 97, 43, 38, 15, 4, 5
2024/2/9, 83, 38, 42, 12, 3, 5
2024/2/10, 87, 49, 40, 11, 3, 5
2024/2/11, 110, 61, 35, 16, 4, 6
2024/2/12, 126, 48, 39, 21, 4, 6
2024/2/13, 93, 44, 22, 26, 5, 6
2024/2/14, 83, 18, 29, 13, 4, 3
2024/2/15, 56, 12, 29, 11, 3, 4
2024/2/16, 34, 27, 28, 16, 4, 5
2024/2/17, 68, 28, 24, 15, 4, 5
2024/2/18, 65, 10, 21, 19, 4, 5
2024/2/19, 37, 13, 23, 14, 4, 3
2024/2/20, 34, 7, 31, 9, 3, 2
2024/2/21, 12, 5, 33, 7, 3, 2
2024/2/22, 14, 9, 34, 4, 3, 2
2024/2/23, 19, 15, 33, 6, 3, 2
2024/2/24, 35, 11, 24, 7, 3, 3
2024/2/25, 39, 16, 31, 11, 3, 3
2024/2/26, 42, 20, 36, 11, 3, 3
2024/2/27, 44, 30, 31, 13, 3, 3
2024/2/28, 54, 38, 31, 18, 3, 5
