date, pm25, pm10, o3, no2, so2, co
2024/6/1, 59, 24, 60, 6, 3, 2
2024/6/2, 60, 20, 42, 11, 5, 2
2024/6/3, 49, 17, 47, 11, 3, 2
2024/6/4, 40, 22, 47, 16, 5, 2
2024/6/5, 49, 22, 50, 15, 6, 2
2024/6/6, 57, 27, 50, 18, 5, 2
2024/6/7, 66, 17, 35, 13, 3, 2
2024/6/8, 47, 13, 40, 9, 3, 2
2024/6/9, 33, 25, 25, 9, 3, 2
2024/6/10, 65, , , , , 
2024/5/1, 43, 25, 55, 19, 3, 3
2024/5/2, 57, 30, 54, 25, 3, 3
2024/5/3, 61, 23, 49, 20, 4, 3
2024/5/4, 54, 29, 24, 22, 5, 3
2024/5/5, 78, 18, 54, 6, 3, 3
2024/5/6, 42, 25, 47, 11, 3, 4
2024/5/7, 62, 16, 36, 10, 3, 3
2024/5/8, 33, 28, 53, 18, 3, 4
2024/5/9, 57, 33, 64, 20, 3, 5
2024/5/10, 64, 22, 43, 9, 3, 3
2024/5/11, 47, 43, 42, 8, 3, 3
2024/5/12, 50, 51, 52, 14, 3, 5
2024/5/13, 64, 38, 71, 22, 4, 6
2024/5/14, 69, 34, 79, 15, 4, 5
2024/5/15, 68, 15, 60, 5, 3, 4
2024/5/16, 25, 32, 61, 18, 3, 4
2024/5/17, 59, 27, 56, 16, 4, 4
2024/5/18, 47, 25, 76, 14, 4, 4
2024/5/19, 59, 34, 63, 22, 4, 4
2024/5/20, 72, 32, 56, 10, 3, 3
2024/5/21, 70, 34, 55, 20, 4, 4
2024/5/22, 72, 42, 91, 23, 5, 5
2024/5/23, 91, 43, 79, 15, 5, 4
2024/5/24, 94, 16, 48, 8, 4, 3
2024/5/25, 31, 26, 44, 10, 7, 3
2024/5/26, 51, 18, 48, 7, 3, 3
2024/5/27, 27, 18, 45, 8, 3, 3
2024/5/28, 35, 22, 65, 18, 4, 3
2024/5/29, 49, 24, 41, 27, 5, 4
2024/5/30, 56, 27, 76, 19, 4, 3
2024/5/31, 65, 24, 79, 11, 3, 2
2024/4/1, 85, 44, 42, 39, 5, 5
2024/4/2, 79, 11, 45, 19, 3, 4
2024/4/3, 26, 32, 48, 17, 5, 4
2024/4/4, 59, 38, 60, 20, 5, 3
2024/4/5, 61, 43, 52, 27, 4, 4
2024/4/6, 83, 47, 72, 20, 4, 5
2024/4/7, 89, 57, 52, 46, 5, 5
2024/4/8, 108, 38, 50, 14, 3, 3
2024/4/9, 64, 27, 42, 13, 3, 3
2024/4/10, 40, 34, 39, 29, 4, 4
2024/4/11, 65, 37, 45, 27, 4, 4
2024/4/12, 79, 28, 51, 24, 4, 4
2024/4/13, 58, 22, 61, 20, 3, 4
2024/4/14, 54, 21, 34, 24, 3, 4
2024/4/15, 49, 46, 49, 17, 3, 4
2024/4/16, 84, 140, 46, 23, 3, 3
2024/4/17, 121, 169, 52, 28, 4, 4
2024/4/18, 158, 160, 66, 27, 4, 4
2024/4/19, 144, 58, 46, 22, 3, 4
2024/4/20, 84, 10, 48, 10, 3, 3
2024/4/21, 26, 26, 48, 12, 3, 3
2024/4/22, 54, 23, 50, 8, 3, 2
2024/4/23, 48, 18, 43, 14, 3, 3
2024/4/24, 40, 29, 52, 21, 3, 3
2024/4/25, 52, 43, 40, 36, 4, 5
2024/4/26, 84, 45, 103, 21, 4, 5
2024/4/27, 91, 41, 77, 14, 5, 5
2024/4/28, 88, 26, 49, 13, 3, 3
2024/4/29, 61, 24, 46, 14, 3, 3
2024/4/30, 62, 21, 46, 7, 3, 3
2024/1/1, 54, 33, 31, 26, 10, 6
2024/1/2, 73, 36, 30, 14, 3, 5
2024/1/3, 86, 36, 26, 23, 5, 7
2024/1/4, 75, 46, 32, 39, 6, 10
2024/1/5, 91, 40, 31, 25, 4, 7
2024/1/6, 84, 22, 28, 8, 3, 7
2024/1/7, 48, 20, 23, 20, 4, 7
2024/1/8, 37, 43, 12, 39, 7, 6
2024/1/9, 82, 38, 22, 24, 3, 5
2024/1/10, 93, 46, 24, 25, 4, 4
2024/1/11, 112, 46, 29, 35, 4, 6
2024/1/12, 90, 30, 28, 24, 4, 4
2024/1/13, 61, 30, 39, 28, 5, 4
2024/1/14, 57, 27, 32, 14, 3, 4
2024/1/15, 53, 27, 20, 26, 4, 4
2024/1/16, 45, 61, 5, 42, 7, 8
2024/1/17, 117, 25, 32, 30, 5, 7
2024/1/18, 58, 21, 31, 10, 6, 3
2024/1/19, 37, 8, 31, 11, 10, 3
2024/1/20, 14, 9, 29, 10, 2, 3
2024/1/21, 17, 17, 28, 8, 2, 4
2024/1/22, 38, 16, 30, 6, 2, 2
2024/1/23, 27, 16, 29, 8, 2, 4
2024/1/24, 25, 27, 26, 18, 3, 5
2024/1/25, 50, 31, 30, 25, 4, 4
2024/1/26, 65, 43, 32, 25, 3, 5
2024/1/27, 94, 34, 35, 16, 4, 5
2024/1/28, 77, 44, 29, 26, 4, 4
2024/1/29, 83, 46, 30, 32, 6, 5
2024/1/30, 92, 49, 26, 36, 4, 8
2024/1/31, 109, 42, 32, 28, 4, 7
2024/2/1, 105, 12, 28, 16, 4, 5
2024/2/2, 27, 17, 30, 21, 3, 6
2024/2/3, 35, 10, 29, 9, 3, 5
2024/2/4, 22, 8, 31, 14, 3, 4
2024/2/5, 11, 20, 25, 17, 3, 3
2024/2/6, 40, 29, 30, 21, 3, 3
2024/2/7, 66, 36, 31, 25, 4, 4
2024/2/8, 82, 39, 36, 20, 4, 4
2024/2/9, 99, 32, 44, 10, 3, 4
2024/2/10, 68, 54, 44, 10, 3, 5
2024/2/11, 136, 47, 36, 20, 3, 5
2024/2/12, 105, 42, 40, 28, 4, 6
2024/2/13, 80, 31, 24, 34, 4, 6
2024/2/14, 69, 23, 39, 18, 3, 3
2024/2/15, 55, 18, 34, 17, 3, 3
2024/2/16, 33, 28, 37, 26, 5, 4
2024/2/17, 61, 37, 26, 28, 6, 5
2024/2/18, 73, 18, 31, 17, 4, 4
2024/2/19, 44, 17, 32, 15, 6, 3
2024/2/20, 37, 4, 31, 11, 13, 2
2024/2/21, 10, 6, 33, 9, 4, 2
2024/2/22, 16, 14, 34, 10, 3, 2
2024/2/23, 26, 18, 34, 8, 10, 2
2024/2/24, 27, 10, 27, 7, 3, 2
2024/2/25, 27, 15, 34, 13, 6, 2
2024/2/26, 36, 24, 36, 20, 2, 3
