date, pm25, pm10, o3, no2, so2, co
2024-05-01,65,45,46,17,8,11
2024-05-02,75,52,76,19,8,6
2024-05-03,79,47,68,15,6,5
2024-05-04,87,42,32,12,5,5
2024-05-05,72,23,43,7,3,5
2024-05-06,45,33,37,17,4,12
2024-05-07,61,39,36,15,5,10
2024-05-08,61,34,50,10,2,4
2024-05-09,58,49,90,10,3,5
2024-05-10,71,35,46,9,4,4
2024-05-11,57,64,45,7,3,5
2024-05-12,69,59,48,13,5,6
2024-05-13,78,54,77,15,4,5
2024-05-14,81,48,61,14,5,9
2024-05-15,84,26,40,8,3,4
2024-05-16,40,46,86,13,4,6
2024-05-17,75,33,60,10,3,5
2024-05-18,58,44,68,10,7,6
2024-05-19,69,52,44,16,5,7
2024-05-20,79,39,40,10,4,5
2024-05-21,62,43,56,17,5,5
2024-05-22,70,49,67,14,3,5
2024-05-23,77,44,53,14,8,8
2024-05-24,67,29,40,11,6,5
2024-05-25,46,35,48,8,5,4
2024-05-26,55,30,48,9,3,4
2024-05-27,41,44,38,16,8,9
2024-05-28,57,34,77,17,4,7
2024-05-29,64,53,71,19,6,7
2024-05-30,94,50,78,15,10,8
2024-05-31,82,36,58,9,5,5
2024-04-01,82,58,53,23,5,7
2024-04-02,89,38,46,27,4,15
2024-04-03,74,54,47,21,7,9
2024-04-04,79,55,47,14,4,6
2024-04-05,69,57,51,14,3,5
2024-04-06,94,58,75,15,7,8
2024-04-07,93,70,81,27,8,9
2024-04-08,124,65,55,20,9,15
2024-04-09,81,42,38,14,5,7
2024-04-10,59,50,50,20,3,6
2024-04-11,80,59,59,18,6,6
2024-04-12,106,64,71,18,9,8
2024-04-13,108,47,56,18,7,6
2024-04-14,76,42,41,21,5,6
2024-04-15,75,57,44,11,2,4
2024-04-16,79,172,46,13,5,7
2024-04-17,138,196,40,18,4,7
2024-04-18,162,133,77,16,4,6
2024-04-19,118,81,47,21,7,11
2024-04-20,106,46,53,20,6,12
2024-04-21,75,49,48,24,9,16
2024-04-22,73,41,49,17,6,9
2024-04-23,63,31,36,16,5,8
2024-04-24,65,58,48,13,3,5
2024-04-25,72,69,60,22,3,5
2024-04-26,84,65,102,19,6,7
2024-04-27,95,60,65,13,6,8
2024-04-28,96,51,50,23,9,15
2024-04-29,77,44,47,19,9,12
2024-04-30,75,37,46,13,6,11
2024-01-01,71,39,32,15,2,7
2024-01-02,74,48,31,15,3,7
2024-01-03,97,48,29,16,2,8
2024-01-04,88,53,37,26,3,9
2024-01-05,100,51,35,22,3,9
2024-01-06,99,32,30,9,3,8
2024-01-07,65,27,25,14,3,9
2024-01-08,54,38,28,22,3,9
2024-01-09,71,44,30,21,6,10
2024-01-10,86,45,31,11,3,7
2024-01-11,95,50,34,17,3,8
2024-01-12,89,33,31,15,3,8
2024-01-13,59,47,46,14,2,8
2024-01-14,69,43,31,13,2,8
2024-01-15,86,36,28,19,5,8
2024-01-16,62,37,22,24,3,8
2024-01-17,71,49,37,27,7,16
2024-01-18,84,37,36,16,6,10
2024-01-19,63,20,34,12,5,7
2024-01-20,42,27,32,10,10,16
2024-01-21,52,24,29,7,2,7
2024-01-22,57,29,30,7,3,8
2024-01-23,60,25,30,10,3,9
2024-01-24,59,31,29,15,3,9
2024-01-25,68,30,33,13,3,8
2024-01-26,67,46,36,17,4,9
2024-01-27,94,42,37,11,3,9
2024-01-28,84,42,34,17,2,8
2024-01-29,84,57,34,23,6,11
2024-01-30,114,56,34,27,4,9
2024-01-31,114,51,38,20,6,11
2024-02-01,100,27,30,18,4,7
2024-02-02,56,28,30,17,4,7
2024-02-03,57,29,35,14,5,9
2024-02-04,60,28,37,19,9,12
2024-02-05,54,33,33,19,4,7
2024-02-06,66,31,33,15,4,7
2024-02-07,66,50,34,17,3,9
2024-02-08,95,49,40,15,3,9
2024-02-09,106,48,48,9,3,9
2024-02-10,105,58,45,11,3,10
2024-02-11,133,56,39,14,3,9
2024-02-12,119,50,44,21,4,9
2024-02-13,93,45,36,23,4,8
2024-02-14,84,38,35,17,6,11
2024-02-15,68,30,35,16,6,9
2024-02-16,57,42,40,18,4,9
2024-02-17,81,46,35,16,4,9
2024-02-18,86,32,36,18,5,9
2024-02-19,68,32,39,15,6,11
2024-02-20,54,18,35,14,4,7
2024-02-21,38,22,37,14,6,9
2024-02-22,49,33,35,19,5,9
2024-02-23,64,25,35,13,5,7
2024-02-24,49,28,33,13,5,8
2024-02-25,60,32,36,18,7,8
2024-02-26,55,42,37,15,4,7
2024-02-27,63,46,37,20,5,8
2024-02-28,68,44,33,20,3,7
2024-02-29,77,43,35,8,3,7
2024-03-01,69,40,37,8,3,8
2024-03-02,61,57,43,12,3,8
2024-03-03,101,77,51,22,3,9
2024-03-04,138,40,40,17,3,7
2024-03-05,74,43,39,22,10,17
2024-03-06,68,41,34,17,3,6
2024-03-07,63,49,39,12,3,7
2024-03-08,88,40,40,12,4,8
2024-03-09,71,37,42,12,3,8
2024-03-10,70,43,43,17,3,8
2024-03-11,76,45,42,21,5,8
2024-03-12,84,45,44,14,2,7
2024-03-13,87,56,54,19,5,8
2024-03-14,97,55,61,13,3,6
2024-03-15,89,65,67,19,6,7
2024-03-16,111,64,50,12,5,8
2024-03-17,84,55,39,16,6,6
2024-03-18,64,56,48,11,3,5
2024-03-19,77,43,39,12,3,6
2024-03-20,76,44,43,14,6,7
2024-03-21,77,56,50,21,4,6
2024-03-22,83,44,49,12,4,6
2024-03-23,66,34,46,15,5,9
2024-03-24,58,35,46,16,5,8
2024-03-25,58,30,42,20,6,13
2024-03-26,53,41,38,20,5,7
2024-03-27,71,54,22,25,3,8
2024-03-28,91,87,47,9,3,6
2024-03-29,85,74,40,14,4,7
2024-03-30,88,62,46,13,7,8
2024-03-31,81,54,46,17,4,7
2023-10-01,61,25,40,11,3,3
2023-10-02,50,26,34,14,3,5
2023-10-03,56,27,41,12,2,4
2023-10-04,63,28,38,11,2,3
2023-10-05,53,36,40,15,4,3
2023-10-06,56,28,36,13,4,4
2023-10-07,55,39,35,15,18,5
2023-10-08,48,27,35,17,6,6
2023-10-09,56,29,39,14,5,5
2023-10-10,60,33,39,15,4,4
2023-10-11,66,32,41,18,3,4
2023-10-12,64,39,42,17,6,6
2023-10-13,63,39,50,12,2,5
2023-10-14,70,32,46,7,2,4
2023-10-15,67,40,44,13,1,4
2023-10-16,70,44,50,15,2,5
2023-10-17,70,35,36,16,1,5
2023-10-18,62,38,50,15,2,4
2023-10-19,65,24,33,8,1,3
2023-10-20,34,26,30,11,2,4
2023-10-21,46,32,37,8,2,5
2023-10-22,55,45,47,20,3,5
2023-10-23,71,59,47,23,2,6
2023-10-24,96,43,45,15,2,5
2023-10-25,82,57,74,18,3,6
2023-10-26,100,62,41,19,3,5
2023-10-27,114,39,37,14,3,5
2023-10-28,82,39,37,13,4,4
2023-10-29,79,47,46,16,3,3
2023-10-30,86,59,49,22,3,6
2023-10-31,100,51,63,17,4,4
2023-11-01,97,53,64,19,3,6
2023-11-02,86,46,43,17,4,5
2023-11-03,75,46,37,20,4,8
2023-11-04,85,37,38,14,7,5
2023-11-05,73,36,36,10,3,4
2023-11-06,55,32,33,8,1,4
2023-11-07,54,42,33,19,6,6
2023-11-08,67,42,43,17,2,6
2023-11-09,77,31,30,12,2,5
2023-11-10,61,31,29,13,5,6
